,No.,Movie,Year,IMDB_rating,Number of votes,Meta favor,Meta score,Certificate,Runtime,Genre,Gross Exact Value,Gross Approximation,movie_url
1,12005,Z-Office,2017,5.1,88,,,,47 min,"Action, Comedy, Horror",,,/title/tt5061004/
2,12006,Avenues,2017,6.2,88,,,,76 min,"Comedy, Drama",,,/title/tt4876096/
3,12007,Hard Surfaces,2017,7.0,88,,,TV-MA,89 min,Drama,,,/title/tt4698940/
4,12008,Donovan,2017,9.1,88,,,,100 min,Drama,,,/title/tt3278500/
5,12010,Kung Fu Traveler 2,2017,4.8,87,,,,95 min,"Action, Fantasy, Sci-Fi",,,/title/tt8005336/
6,12013,Frankie Drake Mysteries: A Cold Case,2017,7.7,87,,,,,Drama,,,/title/tt7784812/
7,12022,The Giant Killler,2017,7.9,87,,,,79 min,Documentary,,,/title/tt7291412/
8,12023,Földiek,2017,6.7,87,,,,27 min,"Short, Comedy, Drama",,,/title/tt7289088/
9,12026,Contes de juillet,2017,6.9,87,,,,68 min,"Comedy, Drama",,,/title/tt7162380/
10,12027,Banda: The Dark Forgotten Trail,2017,8.2,87,,,,94 min,Documentary,,,/title/tt7131752/
11,12028,Hostage X,2017,3.7,87,,,,85 min,Thriller,,,/title/tt7083826/
12,12031,HaMoadon LeSafrut Yaffa Shel Hagveret Yanlekova,2017,6.2,87,,,,88 min,Drama,,,/title/tt6965662/
13,12034,La bouche,2017,5.8,87,,,Not Rated,19 min,"Short, Crime, Drama",,,/title/tt6804990/
14,12036,Tarapaty,2017,4.8,87,,,,85 min,"Adventure, Family",,,/title/tt6737834/
15,12039, Somewhere Between,2017,7.4,87,,,TV-14,41 min,"Drama, Sci-Fi, Thriller",,,/title/tt6467294/
16,12049,El Silencio de los Fusiles,2017,7.6,87,,,,120 min,"Documentary, History, War",,,/title/tt6233154/
17,12050,Muhi: Generally Temporary,2017,8.5,87,,,,89 min,Documentary,,,/title/tt6153322/
0,12051,Red,2017,7.3,87,,,,15 min,"Short, Drama",,,/title/tt6102080/
1,12053, Will,2017,8.2,87,,,TV-MA,49 min,Drama,,,/title/tt5734140/
2,12055,Maria Mafiosi,2017,5.5,87,,,,92 min,Comedy,,,/title/tt5880234/
3,12056, Training Day,2017,8.4,87,,,TV-14,42 min,"Action, Crime, Drama",,,/title/tt4946972/
4,12057, The Halcyon,2017,8.1,87,,,,46 min,"Drama, War",,,/title/tt5808318/
5,12058,Forsaken,2017,5.1,87,,,Unrated,86 min,Thriller,,,/title/tt5811154/
6,12062,The Landing,2017,6.9,87,,,,83 min,"Crime, Mystery, Sci-Fi",,,/title/tt5754992/
7,12063, Shots Fired,2017,7.0,87,,,TV-14,44 min,"Crime, Drama",,,/title/tt5093452/
8,12066,Aquarians,2017,6.2,87,,,,103 min,Drama,"8,500",$0.01M,/title/tt5291714/
9,12068,Fremde Tochter,2017,7.5,87,,,,106 min,Drama,,,/title/tt4746254/
10,12069,Centurion AD: Demons Within,2017,5.8,87,,,,102 min,"Action, Adventure, Sci-Fi",,,/title/tt3748850/
11,12070,Buckshot,2017,5.8,87,,,,78 min,"Comedy, Drama",,,/title/tt3586044/
12,12071,Good Luck,2017,6.5,87,,,,143 min,Documentary,,,/title/tt3288544/
13,12072,Expedition China,2017,6.4,86,,,G,78 min,Documentary,,,/title/tt8064392/
14,12077,1804: The Hidden History of Haiti,2017,7.3,86,,,Not Rated,115 min,Documentary,,,/title/tt7510790/
15,12081,Monkey Farm,2017,3.8,86,,,,76 min,Horror,,,/title/tt7255374/
16,12084,De Familie Slim,2017,5.6,86,,,,80 min,"Adventure, Family",,,/title/tt6964600/
17,12086,Skal,2017,4.6,86,,,,,"Action, Comedy, Drama",,,/title/tt6896956/
18,12087,Fantastica,2017,6.0,86,,,G,89 min,"Animation, Action, Adventure",,,/title/tt6857250/
19,12088,Latched,2017,6.7,86,,,,17 min,"Short, Fantasy, Horror",,,/title/tt6855276/
20,12089,Coyote: The Mike Plant Story,2017,8.3,86,,,Not Rated,105 min,"Documentary, Adventure, Biography",,,/title/tt6739894/
21,12090,A Place to Be,2017,6.4,86,,,Not Rated,113 min,"Comedy, Drama, Romance",,,/title/tt6582734/
22,12091,Hamah,2017,7.9,86,,,,65 min,Drama,,,/title/tt6568410/
23,12092, Somewhere Between,2017,7.3,86,,,TV-14,43 min,"Drama, Sci-Fi, Thriller",,,/title/tt6467294/
24,12095,Hibana,2017,6.6,86,,,,121 min,Drama,,,/title/tt6538416/
25,12097,Raaga,2017,9.0,86,,,,123 min,Drama,,,/title/tt6416358/
26,12098,Prebz og Dennis: The Movie,2017,5.5,86,,,,90 min,Comedy,,,/title/tt6413864/
27,12099,Kiehumispiste,2017,6.6,86,,,,90 min,Documentary,,,/title/tt6399400/
0,12102,Le film de l'été,2017,6.1,86,,,,30 min,Short,,,/title/tt6316662/
1,12103,Ze tian ji,2017,7.5,86,,,TV-14,,Fantasy,,,/title/tt6283378/
2,12105,La vida lliure,2017,6.0,86,,,,90 min,Drama,,,/title/tt6180770/
3,12107, The Last Post,2017,7.9,86,,,TV-14,59 min,"Drama, History, Romance",,,/title/tt5133742/
4,12108,When Paul Came Over the Sea,2017,7.5,86,,,,93 min,Documentary,,,/title/tt6096868/
5,12112,Niñas Araña,2017,7.0,86,,,TV-MA,94 min,"Crime, Drama",,,/title/tt5793082/
6,12115,Jeena Isi Ka Naam Hai,2017,5.5,86,,,,173 min,Drama,,,/title/tt5756052/
7,12116,Who Will Save the Roses?,2017,6.2,86,,,,103 min,"Drama, Romance",,,/title/tt5599140/
8,12117,Haruchika,2017,6.0,86,,,,,"Drama, Music, Mystery",,,/title/tt5564148/
9,12118,Origami,2017,6.5,86,,,,95 min,"Drama, Sci-Fi, Thriller",,,/title/tt5479010/
10,12119,Dreams I Never Had,2017,6.2,86,,,,81 min,Drama,,,/title/tt5478918/
11,12120,1982 - A Love Marriage,2017,7.6,86,,,,113 min,Comedy,,,/title/tt5467702/
12,12122,Shen mi jia zu,2017,5.3,86,,,,92 min,Drama,,,/title/tt4845078/
13,12124,Jägger Royale,2017,7.5,85,,,,53 min,"Action, Comedy",,,/title/tt8387124/
14,12129,Radio Mary,2017,5.0,85,,,Not Rated,77 min,"Mystery, Sci-Fi",,,/title/tt7686386/
15,12130,Mi zhan,2017,5.6,85,,,,100 min,"Action, Drama",,,/title/tt7628068/
16,12133,Adrishya,2017,5.3,85,,,,106 min,"Drama, Family, Horror",,,/title/tt7476874/
17,12136,DaemonRunner,2017,7.3,85,,,,5 min,"Short, Sci-Fi",,,/title/tt7356856/
18,12137,The War of Loong,2017,6.5,85,,,,112 min,"Action, History, War",,,/title/tt7345928/
19,12141,Last Laugh,2017,6.6,85,,,,82 min,Drama,,,/title/tt7162392/
20,12145,Beyond the Spectrum - The Underground,2017,6.1,85,,,,52 min,"Documentary, Biography, Sci-Fi",,,/title/tt7115168/
21,12147,National Theatre Live: Amadeus,2017,8.2,85,,,,206 min,Musical,,,/title/tt6846134/
22,12149,Hunting the KGB Killers,2017,7.4,85,,,,54 min,"Documentary, Crime, Mystery",,,/title/tt6793818/
0,12157,Monday,2017,7.5,85,,,Not Rated,19 min,"Short, Comedy, Crime",,,/title/tt6510684/
1,12161,The Uncertainty Has Settled,2017,7.9,85,,,,89 min,Documentary,,,/title/tt6206758/
2,12162,Irrational Fear,2017,3.5,85,,,,,Horror,,,/title/tt6155600/
3,12164,After Auschwitz,2017,7.0,85,,,,83 min,Documentary,"73,885",$0.07M,/title/tt6079976/
4,12165,Nina,2017,6.5,85,,,,86 min,Drama,,,/title/tt6067428/
5,12169,The Domicile,2017,2.4,85,,,,82 min,Horror,,,/title/tt5585662/
6,12172,The Book of Birdie,2017,5.6,85,,,,91 min,Fantasy,,,/title/tt5142400/
7,12173,Bari Luys,2017,9.1,85,,,,100 min,Drama,,,/title/tt5119914/
8,12174,Índice Médio de Felicidade,2017,6.3,85,,,,107 min,Drama,,,/title/tt4913810/
9,12175,Life Hack,2017,6.9,85,,,,90 min,Comedy,,,/title/tt4337500/
10,12176,The Ningyo,2017,5.6,85,,,,26 min,"Short, Adventure, Drama",,,/title/tt3899676/
11,12177,Eaters of the Dead,2017,7.6,84,,,,60 min,Horror,,,/title/tt8936904/
12,12178,Matsu ga eda o musubi,2017,7.2,84,,,,,Short,,,/title/tt8732718/
13,12179,Knocking at the Door,2017,8.9,84,,,,,Drama,,,/title/tt7771744/
14,12183,Harrow,2017,6.8,84,,,,,Horror,,,/title/tt7525970/
15,12188,The Last Days of Billy the Kid,2017,1.4,84,,,R,80 min,Western,,,/title/tt7339930/
16,12192, The Nineties,2017,7.9,84,,,,,Documentary,,,/title/tt5737432/
17,12196,Ani ni aisaresugite komattemasu,2017,7.0,84,,,,30 min,"Family, Romance",,,/title/tt6911406/
18,12197,Brave Enough,2017,7.8,84,,,TV-PG,75 min,"Documentary, Music",,,/title/tt6905366/
0,12202, Rellik,2017,7.0,84,,,TV-MA,57 min,"Crime, Drama, Mystery",,,/title/tt6768146/
1,12203,Gekijouban Free! Timeless Medley: Kizuna,2017,7.3,84,,,TV-14,94 min,"Animation, Sport",,,/title/tt6799508/
2,12205,Barkley,2017,2.3,84,,,,88 min,Animation,,,/title/tt6701150/
3,12209, Somewhere Between,2017,7.4,84,,,TV-14,41 min,"Drama, Sci-Fi, Thriller",,,/title/tt6467294/
4,12211,Premi O Premi,2017,7.6,84,,,,136 min,"Comedy, Romance",,,/title/tt6522478/
5,12213,Meow,2017,6.2,84,,,,13 min,"Short, Comedy, Horror",,,/title/tt6443836/
6,12217,The Go-Betweens: Right Here,2017,7.3,84,,,,95 min,"Documentary, Music",,,/title/tt6264914/
7,12218,House of Bond,2017,6.3,84,,,,,Drama,,,/title/tt6231504/
8,12219,Himalayathile Kashmalan,2017,4.7,84,,,,104 min,"Comedy, Thriller",,,/title/tt6071040/
9,12220,Larger Than Life: The Kevyn Aucoin Story,2017,8.2,84,,,Not Rated,102 min,Documentary,,,/title/tt6059570/
10,12221,Rett Vest,2017,6.3,84,,,R,80 min,"Comedy, Drama",,,/title/tt6047280/
11,12224,The Bastards Fig Tree,2017,5.7,84,,,TV-14,103 min,"Comedy, Drama, Thriller",,,/title/tt5862296/
12,12225,Murder Made Easy,2017,7.3,84,,,,76 min,"Horror, Thriller",,,/title/tt5835256/
13,12228,Par instinct,2017,5.1,84,,,,83 min,"Adventure, Drama",,,/title/tt5628688/
14,12229, The Moorside,2017,7.6,84,,,TV-MA,57 min,"Crime, Drama, Mystery",,,/title/tt5327216/
15,12230,Burguesinha,2017,4.1,84,,,,90 min,Comedy,,,/title/tt5441282/
16,12231,The New Roommate,2017,5.9,84,,,,80 min,"Drama, Thriller",,,/title/tt5375258/
17,12232,Looking for Infinity: El Camino,2017,7.5,84,,,,60 min,Documentary,,,/title/tt5157886/
18,12233,Viraali,2017,6.8,84,,,,110 min,"Crime, Drama",,,/title/tt4554360/
19,12234,Trinta Lumes,2017,6.8,84,,,,80 min,"Documentary, Mystery",,,/title/tt3886454/
20,12235,August Falls,2017,5.8,84,,,,98 min,"Drama, Mystery, Thriller",,,/title/tt3663718/
21,12236,Garlic & Gunpowder,2017,4.4,84,,,,96 min,Comedy,,,/title/tt3314584/
22,12237,Gold Stars: The Story of the FIFA World Cup Tournaments,2017,7.3,83,,,TV-G,180 min,"Documentary, Sport",,,/title/tt8262610/
23,12240,Joanna Lumley's India,2017,7.7,83,,,,,Documentary,,,/title/tt7760676/
24,12241, Boku dake ga inai machi,2017,8.1,83,,,TV-14,,"Drama, Fantasy, Mystery",,,/title/tt7573686/
25,12247,Sweden Dying to Be Multicultural,2017,6.3,83,,,,63 min,Documentary,,,/title/tt7477590/
26,12248,Pelli Gola,2017,8.7,83,,,,,"Comedy, Romance",,,/title/tt7469686/
0,12254, The Nineties,2017,7.8,83,,,,,Documentary,,,/title/tt5737432/
1,12258,Söz Uçar,2017,7.5,83,,,,5 min,"Short, Drama",,,/title/tt7016282/
2,12261,Grannie,2017,2.3,83,,,,5 min,"Short, Comedy, Musical",,,/title/tt6724856/
3,12262, The Disappearance,2017,7.6,83,,,TV-14,43 min,"Drama, Mystery",,,/title/tt6643540/
4,12265,Atashira,2017,7.2,83,,,,105 min,Mystery,,,/title/tt6634930/
5,12267,The Last Animals,2017,8.1,83,,,,92 min,Documentary,,,/title/tt6583368/
6,12270,Wildlands,2017,7.4,83,,,,95 min,Documentary,,,/title/tt6523328/
7,12271,Xian qiu da zhan,2017,3.9,83,,,,100 min,"Comedy, Sport",,,/title/tt6513338/
8,12277,Stand Up the Musical by Aadar Malik,2017,6.6,83,,,,60 min,"Comedy, Musical",,,/title/tt6318238/
9,12278,Kampterrein,2017,7.6,83,,,,94 min,Comedy,,,/title/tt6112234/
10,12279,Siete cabezas,2017,5.2,83,,,,98 min,Drama,,,/title/tt6107666/
11,12284,Hotel de grote L,2017,6.7,83,,,,85 min,"Comedy, Drama, Family",,,/title/tt5957120/
12,12285,Heavens to Betsy,2017,5.4,83,,,Not Rated,102 min,"Comedy, Fantasy",,,/title/tt5690630/
13,12286, Shots Fired,2017,7.2,83,,,TV-14,44 min,"Crime, Drama",,,/title/tt5093452/
14,12287, Shots Fired,2017,7.3,83,,,TV-14,44 min,"Crime, Drama",,,/title/tt5093452/
15,12288,Man in Red Bandana,2017,8.1,83,,,PG-13,85 min,"Documentary, Biography, History",,,/title/tt4687392/
16,12289,Reinbou,2017,7.2,83,,,TV-PG,100 min,Drama,,,/title/tt4263270/
17,12290,Pulse,2017,4.6,83,,,TV-MA,84 min,"Drama, Fantasy, Sci-Fi",,,/title/tt4161036/
18,12291,Alien Vs. Zombies,2017,3.9,83,,,,70 min,"Adventure, Comedy, Horror",,,/title/tt3626214/
19,12292,When Man falls in the swamp of his thoughts and it ends with him to a disaster,2017,5.3,82,,,,94 min,Comedy,,,/title/tt8888056/
20,12293,A Haunting on Dice Road 2: Town of the Dead,2017,7.0,82,,,,73 min,Documentary,,,/title/tt8764448/
21,12294,The Bittersweet,2017,5.3,82,,,,98 min,Action,,,/title/tt8411990/
0,12306,Pokeurein,2017,6.7,82,,,,92 min,Drama,,,/title/tt7506740/
1,12310,Cuvar dvorca,2017,6.8,82,,,,55 min,"Drama, Thriller",,,/title/tt7381328/
2,12316,Charles Manson: The Final Words,2017,6.9,82,,,,104 min,Documentary,,,/title/tt7292964/
3,12317,Okusama wa toriatsukai chûi,2017,6.1,82,,,,60 min,"Comedy, Drama",,,/title/tt7260442/
4,12322,Lost Love in Times,2017,7.9,82,,,,40 min,"Drama, Fantasy, Romance",,,/title/tt7141540/
5,12323, The Nineties,2017,7.4,82,,,,,Documentary,,,/title/tt5737432/
6,12324,Das Kongo Tribunal,2017,6.8,82,,,,100 min,Documentary,,,/title/tt7106414/
7,12326,Media Studies,2017,4.4,82,,,,71 min,Horror,,,/title/tt7083740/
8,12327,Chennaiyil Oru Naal 2,2017,4.7,82,,,,101 min,Thriller,,,/title/tt7047522/
9,12329,The Discloser,2017,6.2,82,,,,100 min,"Action, Thriller",,,/title/tt6955808/
10,12330,Come Home,2017,2.4,82,,,,9 min,"Short, Drama",,,/title/tt6735290/
11,12332,Return to Chernobyl,2017,7.6,82,,,,54 min,Documentary,,,/title/tt6647448/
12,12334,Kaal Kg Preethi,2017,6.3,82,,,,114 min,Romance,,,/title/tt6567840/
13,12337,Die Tochter,2017,5.5,82,,,,103 min,Drama,,,/title/tt6551510/
14,12340,SAS: Rogue Warriors,2017,8.1,82,,,,180 min,Documentary,,,/title/tt6497600/
0,12352,Arpón,2017,5.9,82,,,,81 min,"Drama, Thriller",,,/title/tt6240976/
1,12355, Making History,2017,6.1,82,,,TV-14,22 min,"Adventure, Comedy, History",,,/title/tt5515410/
2,12357,Opus Zero,2017,5.4,82,,,,84 min,Drama,,,/title/tt6195904/
3,12360,Saga o 3 nevina muskarca,2017,4.2,82,,,,90 min,Comedy,,,/title/tt5922580/
4,12362,Samaritan's Purse presents Facing Darkness,2017,7.2,82,,,Unrated,93 min,"Documentary, Drama","555,533",$0.56M,/title/tt5835100/
5,12363, The Halcyon,2017,8.2,82,,,,47 min,"Drama, War",,,/title/tt5808318/
6,12364,Presidentti,2017,6.6,82,,,,511 min,Drama,,,/title/tt5615292/
7,12366,Newly Single,2017,6.1,82,,,,96 min,"Comedy, Drama, Romance",,,/title/tt5515814/
8,12367,Babylon Sisters,2017,5.7,82,,,,85 min,"Comedy, Drama, Family",,,/title/tt5440516/
9,12368,Paranoia Tapes,2017,2.8,82,,,,92 min,Horror,,,/title/tt4967450/
10,12369,Aniversarea,2017,7.0,82,,,,100 min,Drama,,,/title/tt4828492/
11,12370,Crowhurst,2017,6.8,82,,,,103 min,"Biography, Drama, Sport",,,/title/tt4791984/
12,12371,Light Thereafter,2017,7.0,82,,,,101 min,Drama,,,/title/tt4181716/
13,12372,In God's Time,2017,4.3,82,,,,90 min,Drama,,,/title/tt4060244/
14,12373,Officer Involved,2017,9.3,82,,,,96 min,Documentary,,,/title/tt4007276/
15,12374,Axeman 2: Overkill,2017,4.6,82,,,,100 min,Horror,,,/title/tt3702668/
16,12375,Good Favour,2017,6.3,82,,,Not Rated,101 min,Drama,,,/title/tt3687938/
17,12376,"June, Adrift",2017,5.6,82,,,Not Rated,84 min,"Comedy, Drama",,,/title/tt3317728/
18,12378,Napoleon,2017,7.5,81,,,,119 min,"Drama, Mystery",,,/title/tt8073108/
19,12383,The Bible and God,2017,9.2,81,,,,166 min,Drama,,,/title/tt7599970/
20,12384,Break the Spell,2017,9.1,81,,,,162 min,Drama,,,/title/tt7599904/
21,12385,Waiting,2017,9.1,81,,,,178 min,Drama,,,/title/tt7599406/
22,12386,Bad Peter,2017,6.4,81,,,,9 min,"Short, Comedy",,,/title/tt7558424/
23,12388,Who Is My Lord,2017,8.9,81,,,,,Drama,,,/title/tt7496256/
24,12394,A Chamada: Prólogo - A Origem Do Mal,2017,8.5,81,,,,34 min,"Short, Horror, Mystery",,,/title/tt7142526/
25,12397,Fake News,2017,8.3,81,,,,95 min,Thriller,,,/title/tt6977726/
0,12401,Kya Qusoor Hai Amala Ka?,2017,8.0,81,,,,,Drama,,,/title/tt6757816/
1,12402,After School Knife Fight,2017,5.8,81,,,,21 min,"Short, Drama",,,/title/tt6743404/
2,12403,Der namenlose Tag,2017,6.1,81,,,,89 min,Crime,,,/title/tt6734062/
3,12405,Mantra: Sounds Into Silence,2017,7.9,81,,,,85 min,"Documentary, Music",,,/title/tt6622540/
4,12410,Call Me a Ghost,2017,5.7,81,,,,19 min,"Short, Adult, Drama",,,/title/tt6558560/
5,12412,Het doet zo zeer,2017,7.8,81,,,,87 min,Documentary,,,/title/tt6545250/
6,12413,Yesterday Is Tomorrow,2017,8.4,81,,,,10 min,"Short, Horror, Mystery",,,/title/tt6536842/
7,12415, Jeff & Some Aliens,2017,8.4,81,,,TV-14,21 min,"Animation, Comedy, Sci-Fi",,,/title/tt4218824/
8,12419,Tesoros,2017,7.1,81,,,TV-G,95 min,Family,,,/title/tt6385910/
9,12422,Maineland,2017,5.7,81,,,,90 min,Documentary,,,/title/tt6303872/
10,12425,Majan,2017,5.7,81,,,,92 min,Drama,,,/title/tt6224508/
11,12429,The Outdoorsman,2017,4.0,81,,,,89 min,Comedy,,,/title/tt6021694/
12,12430,Jacinta,2017,5.9,81,,,,84 min,"Biography, Drama",,,/title/tt6006538/
13,12433,The Reunion,2017,5.8,81,,,Not Rated,76 min,"Drama, Mystery, Thriller",,,/title/tt5859132/
14,12436,Ek Poshla Rupkatha,2017,7.5,81,,,,30 min,"Short, Drama",,,/title/tt5516992/
15,12438,Brava,2017,5.8,81,,,Not Rated,91 min,Drama,,,/title/tt5129604/
16,12442,Creature in the Woods,2017,2.5,80,,,Not Rated,80 min,"Action, Adventure, Horror",,,/title/tt8343294/
17,12444,Dona Flor e Seus Dois Maridos,2017,5.9,80,,,,108 min,"Comedy, Romance",,,/title/tt7901878/
18,12450, Boku dake ga inai machi,2017,8.3,80,,,TV-14,,"Drama, Fantasy, Mystery",,,/title/tt7573686/
0,12452,The Opera House,2017,7.8,80,,,,111 min,Documentary,,,/title/tt7659110/
1,12453,What a Beautiful Voice,2017,8.8,80,,,,,Drama,,,/title/tt7638100/
2,12458,Gender Dysphoria: The Movie,2017,9.1,80,,,,14 min,"Short, Comedy, Drama",,,/title/tt7418594/
3,12462,Inference Notes,2017,5.6,80,,,,95 min,"Crime, Drama, Mystery",,,/title/tt7326858/
4,12463,Bible Town,2017,3.0,80,,,,80 min,Animation,,,/title/tt7275258/
5,12464,Weight,2017,4.9,80,,,,120 min,Drama,,,/title/tt7230054/
6,12465,Phantasiesätze,2017,6.5,80,,,,17 min,Short,,,/title/tt7219368/
7,12466,Sunny Family Cult,2017,7.1,80,,,,,"Short, Thriller",,,/title/tt7160778/
8,12467,The First Date,2017,2.4,80,,,,80 min,"Comedy, Horror",,,/title/tt7156326/
9,12468,Battle of the Network Stars,2017,6.5,80,,,,60 min,"Game-Show, Reality-TV, Sport",,,/title/tt7115526/
10,12472,Junk Head,2017,7.4,80,,,,115 min,"Animation, Action, Adventure",,,/title/tt6848928/
11,12476,Galapagos,2017,7.9,80,,,TV-PG,180 min,Documentary,,,/title/tt6714148/
12,12477,The Real Thing,2017,8.2,80,,,,8 min,"Short, Drama",,,/title/tt6683760/
13,12478,Tas,2017,4.8,80,,,,90 min,"Drama, Mystery",,,/title/tt6679554/
14,12479,Perfect in '76,2017,7.4,80,,,TV-PG,60 min,"Documentary, Sport",,,/title/tt6628234/
15,12483,Siu nam yan chow gei 3: Ng ga yau hei,2017,5.5,80,,,,94 min,Comedy,,,/title/tt6554744/
16,12487,Mertvym povezlo,2017,6.1,80,,,,87 min,"Action, Comedy, Horror",,,/title/tt6484256/
17,12491,Hrudayantar,2017,8.3,80,,,,135 min,"Drama, Family, Romance",,,/title/tt6335806/
18,12492,Hot Seat,2017,6.4,80,,,,13 min,"Short, Comedy, Drama",,,/title/tt6255010/
19,12493,"Ernest and Célestine, The Collection",2017,7.8,81,,,,13 min,"Animation, Family",,,/title/tt6213220/
20,12498,The Rabbit Hunt,2017,6.9,80,,,,12 min,"Documentary, Short, Adventure",,,/title/tt6017358/
21,12499,Death at a Barbecue,2017,6.5,80,,,,96 min,"Horror, Thriller",,,/title/tt5904552/
22,12500,Le Scénariste,2017,7.0,80,,,,27 min,"Short, Comedy",,,/title/tt5860050/
0,12502,The Narcissists,2017,3.7,80,,,,82 min,"Comedy, Drama",,,/title/tt5783630/
1,12506,Horror Movie: A Low Budget Nightmare,2017,7.1,80,,,Not Rated,99 min,Documentary,,,/title/tt5717610/
2,12507,Y,2017,6.5,80,,,,106 min,Thriller,,,/title/tt5582430/
3,12508,Life After Ex,2017,5.9,80,,,,85 min,Drama,,,/title/tt5337694/
4,12509,Scumbag,2017,6.7,80,,,TV-MA,114 min,"Comedy, Drama",,,/title/tt4212752/
5,12510,Disconnected,2017,5.4,80,,,PG-13,96 min,Drama,,,/title/tt4117538/
6,12511,Lady Bug,2017,4.1,80,,,,102 min,Thriller,,,/title/tt2766804/
7,12512,Blood Demon Rising,2017,4.6,80,,,,93 min,"Horror, Thriller",,,/title/tt2262716/
8,12513,Alien Hunger,2017,3.8,80,,,,90 min,"Comedy, Horror, Sci-Fi",,,/title/tt1764679/
9,12514,Mordad,2017,4.2,79,,,,72 min,Drama,,,/title/tt9073702/
10,12515,Armed Girl's Machiavellism,2017,6.6,79,,,TV-14,,"Animation, Action, Comedy",,,/title/tt9013220/
11,12523,Setoutsumi,2017,1.5,79,,,,31 min,Drama,,,/title/tt7339964/
12,12525,Chu lian ri ji,2017,6.3,79,,,,114 min,"Comedy, Romance",,,/title/tt7249784/
13,12526,"The Games of the V Olympiad Stockholm, 1912",2017,6.5,79,,,Not Rated,170 min,"Documentary, Sport",,,/title/tt7241484/
14,12530,Insya Allah Sah,2017,5.7,79,,,,83 min,Comedy,,,/title/tt7088210/
15,12532, Powerless,2017,7.8,79,,,,21 min,"Comedy, Fantasy, Sci-Fi",,,/title/tt5083928/
16,12533,Gaeinjoouija Jiyoungssi,2017,8.0,79,,,,,Romance,,,/title/tt6886680/
17,12536,The Public Image is Rotten,2017,7.2,79,,,,103 min,Documentary,"11,293",$0.01M,/title/tt6794466/
18,12538,Napalm,2017,5.3,79,,,,100 min,Documentary,,,/title/tt6777212/
19,12547,"Heinähattu, Vilttitossu ja Rubensin veljekset",2017,5.4,79,,,,90 min,"Comedy, Family",,,/title/tt6591568/
20,12549,VeggieTales in the City,2017,6.1,79,,,TV-Y,,"Animation, Short, Adventure",,,/title/tt6562134/
21,12550, Born to Kill,2017,8.0,79,,,,47 min,"Drama, Mystery, Thriller",,,/title/tt6464458/
0,12552, Strong Girl Bong-soon,2017,8.3,79,,,TV-14,68 min,"Comedy, Crime, Drama",,,/title/tt6263222/
1,12554,Fuck Off I Love You,2017,7.1,79,,,,,"Comedy, Drama",,,/title/tt6436082/
2,12565,Extraño pero verdadero,2017,6.1,79,,,,90 min,Drama,,,/title/tt6235906/
3,12566,"Exhibition on Screen: I, Claude Monet",2017,7.1,79,,,,87 min,"Documentary, History",,,/title/tt6233946/
4,12568,44 Pages,2017,6.7,79,,,TV-Y7,90 min,"Documentary, History",,,/title/tt6159734/
5,12569,Ayer Maravilla Fui,2017,7.1,79,,,,80 min,Sci-Fi,,,/title/tt6079330/
6,12571,Um Dia Negro,2017,8.9,79,,,,24 min,"Short, Crime, Thriller",,,/title/tt5922098/
7,12573, The Halcyon,2017,8.1,79,,,,47 min,"Drama, War",,,/title/tt5808318/
8,12577,Mama wa Nippon e yome ni iccha dame to iukeredo.,2017,5.7,79,,,,92 min,"Comedy, Romance",,,/title/tt5368552/
9,12580,Crowning Jules,2017,4.3,79,,,Not Rated,84 min,Family,,,/title/tt4539912/
10,12581,Mirror Image,2017,5.8,79,,,R,76 min,"Horror, Thriller",,,/title/tt1697973/
11,12585,Byomkesh O Agnibaan,2017,7.4,78,,,,,Thriller,,,/title/tt8016552/
12,12593,Praise and Worship: God Has Brought His Glory to the East,2017,9.3,78,,,,4 min,"Short, Musical",,,/title/tt7620434/
13,12595,Return to Bollene,2017,6.8,78,,,,69 min,Drama,,,/title/tt7525910/
0,12603,Lima,2017,7.2,78,,,,,"Short, Thriller",,,/title/tt7144024/
1,12604, The Nineties,2017,7.9,78,,,,60 min,Documentary,,,/title/tt5737432/
2,12606,Negah,2017,7.4,78,,,,15 min,"Short, Drama",,,/title/tt7136618/
3,12607,Mehetapja/Süütu/Vari,2017,6.4,78,,,,141 min,Drama,,,/title/tt7080736/
4,12613,Chicken Kokkachi,2017,4.9,78,,,,116 min,Comedy,,,/title/tt6817922/
5,12617,Wyrm,2017,7.4,78,,,,20 min,"Short, Comedy, Drama",,,/title/tt6764622/
6,12622,Facing Mecca,2017,8.2,78,,,,25 min,"Short, Drama",,,/title/tt6646960/
7,12625,Pagadi Aattam,2017,5.8,78,,,,129 min,Crime,,,/title/tt6567380/
8,12628,Najpiekniejsze fajerwerki ever,2017,6.5,78,,,,30 min,"Short, Drama",,,/title/tt6541546/
9,12629, Ölene Kadar,2017,9.7,78,,,,,Drama,,,/title/tt6396252/
10,12632,The Art of France,2017,7.9,78,,,,180 min,"Documentary, History",,,/title/tt6501858/
11,12636,THE END: Inside the Last Days of the Obama White House,2017,6.3,78,,,,137 min,Documentary,,,/title/tt6436056/
12,12638,A Silent Agreement,2017,8.3,78,,,Not Rated,134 min,"Drama, Romance",,,/title/tt6427368/
13,12648,Mexico Barbaro 2,2017,5.1,78,,,,97 min,Horror,,,/title/tt6269060/
14,12650,Ayaal Sassi,2017,5.6,78,,,,122 min,"Comedy, Drama",,,/title/tt6231840/
